Time,Accel x[m/s^2],Accel y[m/s^2],Accel z[m/s^2],Spin x[degrees/sec],Spin z[degrees/sec],Spin y[degrees/sec],,,,,,12:53:38:00,0,0,0,0,0,0
 11:50:15:344370,-0.0732,-0.1152,0,-13.5498,2.5635,29.48,,,,,,,,,,,,
 11:50:15:444272,-0.0889,0.0347,0,7.6904,4.9438,49.1333,,,,,,,,,,,,
 11:50:15:544171,-0.106,-0.1299,0,-2.6855,-2.6855,37.0483,,,,,,,,,,,,
 11:50:15:644081,-0.0737,-0.0215,0,-10.5591,2.9297,33.1421,,,,,,,,,,,,
 11:50:15:744035,-0.0688,-0.0532,0,10.1929,-6.6528,33.7524,,,,,,,,,,,,
 11:50:15:843876,-0.0151,0.0337,0,-3.479,0.9766,33.2642,,,,,,,,,,,,
 11:50:15:943777,-0.0483,-0.0195,0,7.7515,-3.2349,35.4614,,,,,,,,,,,,
 11:50:16:043687,-0.0513,-0.0156,0,-0.4272,-2.0752,37.1704,,,,,,,,,,,,
 11:50:16:143581,-0.0225,0.002,0,-0.9766,1.4648,35.2173,,,,,,,,,,,,
 11:50:16:243468,-0.0605,-0.0181,0,-1.2817,1.1597,31.9824,,,,,,,,,,,,
 11:50:16:343372,-0.0454,-0.0562,0,2.5024,3.54,30.7007,,,,,,,,,,,,
 11:50:16:443280,0.0034,0.0269,0,3.7231,-4.6387,30.7617,,,,,,,,,,,,
 11:50:16:543180,-0.041,-0.0127,0,10.376,-4.5776,30.8838,,,,,,,,,,,,
 11:50:16:643073,-0.0176,0.0352,0,-4.3335,2.4414,27.2827,,,,,,,,,,,,
 11:50:16:742976,-0.0547,-0.0479,0,1.8921,-3.8452,26.7944,,,,,,,,,,,,
 11:50:16:842890,-0.0059,0.0312,0,-4.6997,2.5024,24.5972,,,,,,,,,,,,
 11:50:16:942792,0.001,0.0088,0,10.1929,-1.709,19.8975,,,,,,,,,,,,
 11:50:17:042739,-0.0322,-0.0176,0,4.2114,-1.8311,23.3765,,,,,,,,,,,,
 11:50:17:142614,0.0083,-0.0601,0,-0.4272,-5.9814,14.7705,,,,,,,,,,,,
 11:50:17:242519,0.0562,0.0903,0,-7.5684,3.3569,22.0947,,,,,,,,,,,,
 11:50:17:342456,-0.041,-0.0132,0,-10.437,2.6245,18.8599,,,,,,,,,,,,
 11:50:17:442329,-0.0464,-0.001,0,-4.3335,-2.1973,22.2778,,,,,,,,,,,,
 11:50:17:542241,-0.0508,-0.0332,0,3.418,-3.6621,21.4844,,,,,,,,,,,,
 11:50:17:642166,-0.0195,0.0044,0,-9.0942,4.8828,25.9399,,,,,,,,,,,,
 11:50:17:742048,-0.0591,0.0225,0,0.1221,-1.8311,25.9399,,,,,,,,,,,,
 11:50:17:842014,-0.0601,-0.0464,0,7.4463,-1.9531,21.3013,,,,,,,,,,,,
 11:50:17:941863,0.0176,0.0693,0,2.7466,5.3711,28.3813,,,,,,,,,,,,
 11:50:18:041757,-0.0342,0.0073,0,-4.4556,6.897,30.5786,,,,,,,,,,,,
 11:50:18:141662,-0.04,-0.0171,0,-0.1221,0.061,28.7476,,,,,,,,,,,,
 11:50:18:241595,-0.0024,0.0044,0,-0.3662,0.1831,31.0059,,,,,,,,,,,,
 11:50:18:341466,-0.0239,0.0127,0,-2.9297,2.4414,32.8369,,,,,,,,,,,,
 11:50:18:441353,-0.1187,-0.0029,0,-20.874,7.2632,37.7808,,,,,,,,,,,,
 11:50:18:541262,-0.0127,-0.0186,0,10.9253,3.54,43.7012,,,,,,,,,,,,
 11:50:18:641190,-0.0762,-0.085,0,-0.5493,-0.1221,30.7007,,,,,,,,,,,,
 11:50:18:741084,-0.0171,0.0249,0,-11.0474,6.958,31.189,,,,,,,,,,,,
 11:50:18:840984,-0.0791,-0.041,0,2.7466,-1.1597,30.3955,,,,,,,,,,,,
 11:50:18:940884,-0.0615,0.0088,0,-4.7607,-3.1738,26.3672,,,,,,,,,,,,
 11:50:19:040790,-0.0596,0.0132,0,-0.2441,-1.77,25.9399,,,,,,,,,,,,
 11:50:19:140693,-0.0498,0.0044,0,-5.127,-1.0376,24.9634,,,,,,,,,,,,
 11:50:19:240602,-0.041,0.0161,0,-3.2959,-0.1221,26.8555,,,,,,,,,,,,
